"","sp","DR","ssp","lat","region","age","genus","Family","Order","eltonO","eltonF"
"1","Abeillia_abeillei",0.156112483733175,2,15.28700148,"Tropical",3.84488676,"Abeillia","Trochilidae","Caprimulgiformes","Apodiformes","Trochilidae"
"2","Abroscopus_schisticeps",0.118953318510313,3,26.70045354,"Mixed",0.9647832716,"Abroscopus","Scotocercidae","Passeriformes","Passeriformes","Sylviidae"
"3","Abroscopus_superciliaris",0.0630973147990194,10,9.887984668,"Mixed",13.01539928,"Abroscopus","Scotocercidae","Passeriformes","Passeriformes","Sylviidae"
"4","Aburria_aburri",0.236731047068587,1,3.607688935,"Tropical",1.307426293,"Aburria","Cracidae","Galliformes","Galliformes","Cracidae"
"5","Acanthisitta_chloris",0.0174311576095384,3,-42.51708195,"Temperate",38.02938801,"Acanthisitta","Acanthisittidae","Passeriformes","Passeriformes","Acanthisittidae"
"6","Acanthiza_apicalis",0.0778346405338616,5,-27.62864584,"Mixed",7.639327969,"Acanthiza","Acanthizidae","Passeriformes","",""
"7","Acanthiza_chrysorrhoa",0.0667426912562162,7,-28.83670216,"Mixed",12.44104402,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"8","Acanthiza_ewingii",0.10133697377638,1,-41.93817252,"Temperate",6.888383114,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"9","Acanthiza_inornata",0.144867898611038,2,-32.67121779,"Temperate",3.888977001,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"10","Acanthiza_iredalei",0.118698658810642,3,-31.21561668,"Temperate",3.302469122,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"11","Acanthiza_katherina",0.159546943477332,1,-17.75922176,"Tropical",2.667429012,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"12","Acanthiza_lineata",0.0667426912562162,4,-32.15814998,"Mixed",12.44104402,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"13","Acanthiza_murina",0.0817671209756606,1,-5.389091066,"Tropical",6.934925298,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"14","Acanthiza_nana",0.0817671209756606,3,-29.94627513,"Mixed",6.934925298,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"15","Acanthiza_pusilla",0.159546943477332,6,-32.2413593,"Mixed",2.667429012,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"16","Acanthiza_reguloides",0.144867898611038,2,-29.58766163,"Mixed",3.888977001,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"17","Acanthiza_robustirostris",0.118698658810642,1,-25.84942059,"Mixed",3.302469122,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"18","Acanthiza_uropygialis",0.100839956186455,2,-28.24404804,"Mixed",6.28648714,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"19","Accipiter_albogularis",0.111084333285378,5,-8.226953673,"Tropical",2.408174483,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"20","Accipiter_badius",0.0942276407292862,6,7.135151648,"Mixed",7.911542864,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"21","Accipiter_bicolor",0.106980330536729,5,-10.10235901,"Mixed",5.423039877,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"22","Accipiter_brachyurus",0.111084333285378,1,-4.960391255,"Tropical",2.408174483,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"23","Accipiter_brevipes",0.0874009585185377,1,45.45953628,"Temperate",8.007666544,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"24","Accipiter_castanilius",0.0884321361283787,1,-0.790397995,"Tropical",7.91003026,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"25","Accipiter_cirrocephalus",0.0747079801248031,3,-23.35856041,"Mixed",3.823434272,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"26","Accipiter_cooperii",0.106980330536729,1,42.59164609,"Mixed",5.423039877,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"27","Accipiter_erythrauchen",0.173229325842899,2,-1.319809005,"Tropical",3.080019263,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"28","Accipiter_erythropus",0.118128327412244,2,3.48310433,"Tropical",3.545289114,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"29","Accipiter_fasciatus",0.155581740573917,11,-24.44597521,"Mixed",4.082060059,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"30","Accipiter_gentilis",0.0641183282779827,8,54.19928199,"Mixed",10.57636548,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"31","Accipiter_griseiceps",0.0569436600112165,1,-1.827513242,"Tropical",6.677625769,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"32","Accipiter_gularis",0.343518453161623,3,46.51051226,"Mixed",0.04940889755,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"33","Accipiter_gundlachi",0.0884321361283787,2,21.00555081,"Tropical",7.91003026,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"34","Accipiter_haplochrous",0.110301683618032,1,-21.33139497,"Tropical",0.5708719835,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"35","Accipiter_henstii",0.039973194293197,1,-19.53863591,"Mixed",21.96966535,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"36","Accipiter_imitator",0.203036165386482,1,-7.393124786,"Tropical",0.1351183182,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"37","Accipiter_luteoschistaceus",0.0415339747814257,1,-5.628302281,"Tropical",23.25951261,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"38","Accipiter_madagascariensis",0.0741888244716374,1,-19.05740118,"Mixed",9.45373349,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"39","Accipiter_melanochlamys",0.146631831026286,2,-5.30693509,"Tropical",3.027006016,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"40","Accipiter_melanoleucus",0.0695496110687387,2,-5.510014997,"Mixed",2.564975483,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"41","Accipiter_meyerianus",0.146631831026286,1,-4.7636492,"Tropical",3.027006016,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"42","Accipiter_minullus",0.060271637144566,1,-9.713794283,"Mixed",12.56714028,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
"43","Accipiter_nisus",0.203212421376545,6,52.60348888,"Temperate",2.918596945,"Accipiter","Accipitridae","Accipitriformes","Accipitriformes","Accipitridae"
