"","sp","DR","ssp","lat","region","age","genus","Family","Order","eltonO","eltonF"
"1","Abeillia_abeillei",-1.55600723557876,2,15.28700148,"Tropical",3.84488676,"Abeillia","Trochilidae","Caprimulgiformes","Apodiformes","Trochilidae"
"2","Abroscopus_schisticeps",-2.37164413909952,3,26.70045354,"Mixed",0.9647832716,"Abroscopus","Scotocercidae","Passeriformes","Passeriformes","Sylviidae"
"3","Abroscopus_superciliaris",-2.46136936475248,10,9.887984668,"Mixed",13.01539928,"Abroscopus","Scotocercidae","Passeriformes","Passeriformes","Sylviidae"
"4","Aburria_aburri",-1.7621057430831,1,3.607688935,"Tropical",1.307426293,"Aburria","Cracidae","Galliformes","Galliformes","Cracidae"
"5","Acanthisitta_chloris",-3.92494673566352,3,-42.51708195,"Temperate",38.02938801,"Acanthisitta","Acanthisittidae","Passeriformes","Passeriformes","Acanthisittidae"
"6","Acanthiza_apicalis",-2.30504323380677,5,-27.62864584,"Mixed",7.639327969,"Acanthiza","Acanthizidae","Passeriformes","",""
"7","Acanthiza_chrysorrhoa",-2.50595356404762,7,-28.83670216,"Mixed",12.44104402,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"8","Acanthiza_ewingii",-2.06687484744735,1,-41.93817252,"Temperate",6.888383114,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"9","Acanthiza_inornata",-1.94473208077644,2,-32.67121779,"Temperate",3.888977001,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"10","Acanthiza_iredalei",-1.76738705109898,3,-31.21561668,"Temperate",3.302469122,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"11","Acanthiza_katherina",-1.63107612701088,1,-17.75922176,"Tropical",2.667429012,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"12","Acanthiza_lineata",-2.62087797053957,4,-32.15814998,"Mixed",12.44104402,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"13","Acanthiza_murina",-2.13570416347683,1,-5.389091066,"Tropical",6.934925298,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"14","Acanthiza_nana",-2.13854532160131,3,-29.94627513,"Mixed",6.934925298,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"15","Acanthiza_pusilla",-1.63107612701088,6,-32.2413593,"Mixed",2.667429012,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
"16","Acanthiza_reguloides",-1.94473208077644,2,-29.58766163,"Mixed",3.888977001,"Acanthiza","Acanthizidae","Passeriformes","Passeriformes","Acanthizidae"
