TAXON,SPECIES,SUBSPECIES,DISSECTED.BY.MOUNTAINS,LAT.RANGE,ENV.SHIELDING,GLACIATION,ISLAND.DWELLING,HABITAT.HETEROGENEITY,BODY.SIZE,MEAN.PRECIP,VARIANCE.PRECIP,PREDICTABILITY.PRECIP,MEAN.TEMP,VARIANCE.TEMP,PREDICTABILITY.TEMP,NPP,BREEDING.RANGE.AREA,ENV.HARSHNESS,GEOGRAPHIC.COVERAGE,RAINFALL.UNPREDICTABILITY,RESIDUAL.BODY.SIZE,SOURCE.HIBERNATION.DATA,N.MOST.LAT,S.MOST.LAT,CENTROID
birds,Acanthisitta_chloris,3,TRUE,Temperate,0,1,1,3,6.95,144.231553,3357.603483,0.689361586,9.250841857,15.36305935,0.627218347,4.58E+11,203379.1368,0.567972344,-0.677876171,-0.135649549,1.30542553,,-36.46793003,-46.99578966,-42.51708195
birds,Xenicus_gilviventris,1,FALSE,Temperate,0,1,1,2,17.7,277.3233372,8020.251147,0.715473347,4.975152905,17.62562205,0.626037951,3.99E+11,11157.1077,0.098472658,-1.570189415,0.174306361,0.624696451,,-41.00614,-46.06963,-43.98989912
birds,Acanthiza_apicalis,5,FALSE,Mixed,0,0,0,4,7.5,20.89490638,652.15458,0.489403468,20.47050071,33.72486818,0.577332754,1.07E+11,4124540.164,1.545502492,0.521703382,1.14052955,0.847804308,,-16.77940744,-35.99999971,-27.62864584
birds,Acanthiza_chrysorrhoa,7,TRUE,Mixed,0,0,0,5,9.333333333,29.40118101,996.7905794,0.481655611,19.271479,30.91914938,0.585262442,1.89E+11,4606138.609,1.549586883,1.023481597,1.189781983,0.823393419,,-18.56236178,-43.6439738,-28.83670216
birds,Acanthiza_ewingii,1,TRUE,Temperate,0,0,1,1,6.9,84.11021152,2079.733767,0.575735003,10.18323904,10.30585439,0.640531562,4.94E+11,68050.5762,0.467430131,-1.589497939,0.94784975,0.827199894,,-39.44255841,-43.64397438,-41.93817252
birds,Acanthiza_inornata,2,FALSE,Temperate,0,0,0,1,7,47.06607004,2164.514507,0.548119534,16.13183876,19.46713166,0.61236629,3.73E+11,137462.405,0.709191937,-1.33766021,1.150910924,0.702233965,,-29.1632159,-35.19095605,-32.67121779
birds,Acanthiza_iredalei,3,FALSE,Temperate,0,0,0,2,6.05,20.65825397,284.6989506,0.522967573,18.00196762,27.15518206,0.589622291,1.42E+11,987475.8787,1.304570332,-0.789436355,0.991999187,0.867167021,,-24.05516863,-38.85948,-31.21561668
birds,Acanthiza_katherina,1,FALSE,Tropical,0,0,0,2,7.2,100.024571,18047.84082,0.438966302,22.26691301,10.50019661,0.642388155,4.42E+11,58194.2587,-0.004892849,-0.047918282,2.745402197,0.216214344,,-15.75602453,-19.06944689,-17.75922176
birds,Acanthiza_lineata,4,FALSE,Mixed,0,0,0,4,6.866666667,55.88507796,2098.214164,0.449788435,16.29629082,25.32117602,0.599960646,4.29E+11,1043818.551,1.124039635,0.600629555,1.788105572,0.781016759,,-23.08707544,-39.24136,-32.15814998
birds,Acanthiza_murina,1,FALSE,Tropical,0,0,1,2,8.4,271.1790494,9320.063243,0.744202679,21.03533165,0.412120397,0.781006412,3.66E+11,83142.6353,-0.909607482,-0.997669267,-0.599844041,1.149379035,,-3.380684084,-9.628158835,-5.389091066
birds,Acanthiza_nana,3,FALSE,Mixed,0,0,0,5,6.2,46.15863248,2419.008887,0.421593597,18.09424899,28.54118051,0.589195028,3.07E+11,2021524.1,1.354327815,1.153339531,2.016546722,0.807461051,,-15.67704894,-39.13894,-29.94627513
